序號,代碼,校區,供水區,水號,水號格式1,裝置日期,供水區說明,識別碼,水號,繳費年月,水費年,水費月,用水度數,應繳金額,與去年比較增減度數
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),558,51180002015,102/05,102,05,17348.0,285435.0,None
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),568,51180002015,102/06,102,06,16985.0,279500.0,None
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),578,51180002015,102/08,102,08,17930.0,294950.0,None
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),624,51180002015,102/09,102,09,19285.0,317106.0,None
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),634,51180002015,102/10,102,10,14980.0,246717.0,None
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),644,51180002015,102/07,102,07,20124.0,330822.0,None
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),744,51180002015,103/08,103,08,16696.0,274771.0,-1234.0
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),754,51180002015,103/09,103,09,16767.0,275933.0,-2518.0
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),764,51180002015,103/10,103,10,16752.0,275686.0,1772.0
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),774,51180002015,103/11,103,11,17326.0,285071.0,-961.0
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),824,51180002015,104/04,104,04,20459.0,336296.0,6797.0
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),834,51180002015,104/05,104,05,20103.0,330476.0,5783.0
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),844,51180002015,104/06,104,06,19292.0,317215.0,2647.0
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),854,51180002015,104/07,104,07,19722.0,324246.0,4563.0
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),864,51180002015,104/08,104,08,21184.0,348150.0,4488.0
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),874,51180002015,104/09,104,09,22122.0,363486.0,5355.0
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),884,51180002015,104/10,104,10,18956.0,311721.0,2204.0
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),894,51180002015,104/11,104,11,20345.0,334433.0,3019.0
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),904,51180002015,104/12,104,12,20632.0,339124.0,1986.0
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),914,51180002015,105/01,105,01,17868.0,293934.0,33.0
1.0,A1,蘭潭,蘭潭主校區,51180002015,51-1800-0201-5,1980-10-24 00:00:00,蘭潭校區個建築主要供水源(不包含機械與能源學系及宿舍區用水),924,51180002015,105/02,105,02,18039.0,296729.0,-1012.0
